source_key,canonical_word,word_form,coverage_label,provenance
moe-primary-2022,a,a,小学二级词汇,PDF第95页
moe-primary-2022,about,about,小学二级词汇,PDF第95页
moe-primary-2022,after,after,小学二级词汇,PDF第95页
moe-primary-2022,afternoon,afternoon,小学二级词汇,PDF第95页
moe-primary-2022,again,again,小学二级词汇,PDF第95页
moe-primary-2022,age,age,小学二级词汇,PDF第95页
moe-primary-2022,ago,ago,小学二级词汇,PDF第95页
moe-primary-2022,air,air,小学二级词汇,PDF第95页
moe-primary-2022,all,all,小学二级词汇,PDF第95页
moe-primary-2022,also,also,小学二级词汇,PDF第95页
moe-primary-2022,always,always,小学二级词汇,PDF第95页
moe-primary-2022,be,am,小学二级词汇,PDF第95页
moe-primary-2022,a,an,小学二级词汇,PDF第95页
moe-primary-2022,and,and,小学二级词汇,PDF第95页
moe-primary-2022,angry,angry,小学二级词汇,PDF第95页
moe-primary-2022,animal,animal,小学二级词汇,PDF第95页
moe-primary-2022,answer,answer,小学二级词汇,PDF第95页
moe-primary-2022,any,any,小学二级词汇,PDF第95页
moe-primary-2022,apple,apple,小学二级词汇,PDF第95页
moe-primary-2022,be,are,小学二级词汇,PDF第95页
moe-primary-2022,arm,arm,小学二级词汇,PDF第95页
moe-primary-2022,art,art,小学二级词汇,PDF第95页
moe-primary-2022,ask,ask,小学二级词汇,PDF第95页
moe-primary-2022,astronaut,astronaut,小学二级词汇,PDF第95页
moe-primary-2022,at,at,小学二级词汇,PDF第95页
moe-primary-2022,aunt,aunt,小学二级词汇,PDF第95页
moe-primary-2022,autumn,autumn,小学二级词汇,PDF第95页
moe-primary-2022,baby,baby,小学二级词汇,PDF第95页
moe-primary-2022,back,back,小学二级词汇,PDF第95页
moe-primary-2022,bad,bad,小学二级词汇,PDF第95页
moe-primary-2022,bag,bag,小学二级词汇,PDF第95页
moe-primary-2022,ball,ball,小学二级词汇,PDF第95页
moe-primary-2022,banana,banana,小学二级词汇,PDF第95页
moe-primary-2022,basketball,basketball,小学二级词汇,PDF第95页
moe-primary-2022,be,be,小学二级词汇,PDF第95页
moe-primary-2022,beach,beach,小学二级词汇,PDF第95页
moe-primary-2022,bear,bear,小学二级词汇,PDF第95页
moe-primary-2022,beautiful,beautiful,小学二级词汇,PDF第95页
moe-primary-2022,because,because,小学二级词汇,PDF第95页
moe-primary-2022,bed,bed,小学二级词汇,PDF第95页
moe-primary-2022,bee,bee,小学二级词汇,PDF第95页
moe-primary-2022,before,before,小学二级词汇,PDF第95页
moe-primary-2022,begin,begin,小学二级词汇,PDF第95页
moe-primary-2022,behind,behind,小学二级词汇,PDF第95页
moe-primary-2022,beside,beside,小学二级词汇,PDF第95页
moe-primary-2022,best,best,小学二级词汇,PDF第95页
moe-primary-2022,between,between,小学二级词汇,PDF第95页
moe-primary-2022,bike,bicycle,小学二级词汇,PDF第95页
moe-primary-2022,big,big,小学二级词汇,PDF第95页
moe-primary-2022,bike,bike,小学二级词汇,PDF第95页
moe-primary-2022,bird,bird,小学二级词汇,PDF第95页
moe-primary-2022,birthday,birthday,小学二级词汇,PDF第95页
