entry_id,pdf_page,cet_level,canonical_word,word_form,display_form,member_kind,sense_number,source_family,normalization_rule,review_status,review_reason
0001-01,21,CET-4,a,a,a,canonical,,a/an,literal,clean,
0001-02,21,CET-4,a,an,an,canonical_variant,,a/an,slash_alternative:literal,spot_check,斜杠并列形式
0002-01,21,CET-4,abandon,abandon,abandon,canonical,,abandon,literal,clean,
0003-01,21,CET-6,abbreviation,abbreviation,abbreviation,canonical,,abbreviation,literal,clean,
0004-01,21,CET-6,abide,abide,abide,canonical,,abide,literal,clean,
0005-01,21,CET-4,able,able,able,canonical,,able ability,literal,clean,
0005-02,21,CET-4,able,ability,ability,derived,,able ability,literal,clean,
0006-01,21,CET-6,abnormal,abnormal,abnormal,canonical,,abnormal,literal,clean,
0007-01,21,CET-4,aboard,aboard,aboard,canonical,,aboard,literal,clean,
0008-01,21,CET-4,abolish,abolish,abolish,canonical,,abolish abolition,literal,clean,
0008-02,21,CET-4,abolish,abolition,abolition,derived,,abolish abolition,literal,clean,
0009-01,21,CET-6,abort,abort,abort,canonical,,abort abortion,literal,clean,
0009-02,21,CET-6,abort,abortion,abortion,derived,,abort abortion,literal,clean,
0010-01,21,CET-4,about,about,about,canonical,,about,literal,clean,
0011-01,21,CET-4,above,above,above,canonical,,above,literal,clean,
0012-01,21,CET-6,abreast,abreast,abreast,canonical,,abreast,literal,clean,
0013-01,21,CET-4,abroad,abroad,abroad,canonical,,abroad,literal,clean,
0014-01,21,CET-6,abrupt,abrupt,abrupt,canonical,,abrupt,literal,clean,
0015-01,21,CET-4,absent,absent,absent,canonical,,absent absence,literal,clean,
0015-02,21,CET-4,absent,absence,absence,derived,,absent absence,literal,clean,
0016-01,21,CET-4,absolute,absolute,absolute,canonical,,absolute,literal,clean,
0017-01,21,CET-4,absorb,absorb,absorb,canonical,,absorb absorption,literal,clean,
0017-02,21,CET-4,absorb,absorption,absorption,derived,,absorb absorption,literal,clean,
0018-01,21,CET-4,abstract,abstract,abstract,canonical,,abstract,literal,clean,
0019-01,21,CET-6,absurd,absurd,absurd,canonical,,absurd absurdity,literal,clean,
0019-02,21,CET-6,absurd,absurdity,absurdity,derived,,absurd absurdity,literal,clean,
0020-01,21,CET-4,abundant,abundant,abundant,canonical,,abundant abundance,literal,clean,
