pdf_page,cet_level,source_family,proposed_forms,review_status,review_reason
26,CET-4,appropriate１,appropriate,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
26,CET-6,appropriate２,appropriate,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
47,CET-4,converse１,converse,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
47,CET-6,converse２,converse,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
49,CET-6,coup(d􀆳état),coup | coup d'état,required,法语短语及撇号由 PDF 私有字形恢复
54,CET-4,despatch,despatch,required,同一拼写同时出现在 CET-4 与 CET-6 词族中
56,CET-6,dispatch/despatch,dispatch | despatch,required,斜杠并列形式；同一拼写同时出现在 CET-4 与 CET-6 词族中
83,CET-6,invalid１,invalid,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
83,CET-4,invalid２,invalid,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
128,CET-4,staple１,staple,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
128,CET-6,staple２,staple,required,同形异义编号已移至 sense_number；同一拼写同时出现在 CET-4 与 CET-6 词族中
21,CET-4,a/an,a | an,spot_check,斜杠并列形式
22,CET-4,administer/administrate administration administrative,administer | administrate | administration | administrative,spot_check,斜杠并列形式
22,CET-4,advertise advertisement/ad advertising,advertise | advertisement | ad | advertising,spot_check,斜杠并列形式；缩写形式
22,CET-4,advise advisor/Ｇer advisory advisable,advise | advisor | adviser | advisory | advisable,spot_check,PDF 连字符/共享词尾字形已恢复；共享词尾替换
23,CET-4,afterward(s),afterward | afterwards,spot_check,括号可选拼写
23,CET-4,age aged ag(e)ing,age | aged | aging | ageing,spot_check,括号可选拼写
23,CET-4,airplane/aeroplane,airplane | aeroplane,spot_check,斜杠并列形式
23,CET-4,airＧconditioning airＧconditioner,air-conditioning | air-conditioner,spot_check,PDF 连字符/共享词尾字形已恢复
24,CET-4,alphabet alphabetic(al),alphabet | alphabetic | alphabetical,spot_check,括号可选拼写
25,CET-4,alumin(i)um,aluminum | aluminium,spot_check,括号可选拼写
25,CET-4,amid(st),amid | amidst,spot_check,括号可选拼写
25,CET-4,among(st),among | amongst,spot_check,括号可选拼写
25,CET-4,analyze/Ｇyse analysis analytic(al) analyst,analyze | analyse | analysis | analytic | analytical | analyst,spot_check,PDF 连字符/共享词尾字形已恢复；共享词尾替换；括号可选拼写
26,CET-4,anybody/anyone,anybody | anyone,spot_check,斜杠并列形式
26,CET-4,apartment/apt．,apartment | apt.,spot_check,斜杠并列形式；缩写形式
26,CET-4,apology apologize/Ｇise apologetic,apology | apologize | apologise | apologetic,spot_check,PDF 连字符/共享词尾字形已恢复；共享词尾替换
26,CET-6,appal(l) appalling,appal | appall | appalling,spot_check,括号可选拼写
27,CET-6,armo(u)r,armor | armour,spot_check,括号可选拼写
29,CET-4,authorize/Ｇise authorization/Ｇsation,authorize | authorise | authorization | authorisation,spot_check,PDF 连字符/共享词尾字形已恢复；共享词尾替换
29,CET-4,auto(mobile),auto | automobile,spot_check,括号可选拼写
29,CET-6,autobiography autobiographic(al),autobiography | autobiographic | autobiographical,spot_check,括号可选拼写
29,CET-4,ax(e),ax | axe,spot_check,括号可选拼写
30,CET-4,bank１,bank,spot_check,同形异义编号已移至 sense_number
30,CET-4,bank２,bank,spot_check,同形异义编号已移至 sense_number
30,CET-4,barbecue/BBQ,barbecue | BBQ,spot_check,斜杠并列形式；缩写形式
32,CET-4,behave behavio(u)r behavio(u)ral,behave | behavior | behaviour | behavioral | behavioural,spot_check,括号可选拼写
32,CET-4,bestＧseller bestＧselling,best-seller | best-selling,spot_check,PDF 连字符/共享词尾字形已恢复
33,CET-4,bicycle/bike,bicycle | bike,spot_check,斜杠并列形式
34,CET-4,blond(e),blond | blonde,spot_check,括号可选拼写
34,CET-4,bore１,bore,spot_check,同形异义编号已移至 sense_number
