pdf_page,cet_level,raw_family
21,CET-4,a/an
21,CET-4,abandon
21,CET-6,abbreviation
21,CET-6,abide
21,CET-4,able ability
21,CET-6,abnormal
21,CET-4,aboard
21,CET-4,abolish abolition
21,CET-6,abort abortion
21,CET-4,about
21,CET-4,above
21,CET-6,abreast
21,CET-4,abroad
21,CET-6,abrupt
21,CET-4,absent absence
21,CET-4,absolute
21,CET-4,absorb absorption
21,CET-4,abstract
21,CET-6,absurd absurdity
21,CET-4,abundant abundance
21,CET-4,abuse abusive
21,CET-4,academy academic academician
21,CET-4,accelerate acceleration
21,CET-4,accent
21,CET-4,accept acceptance acceptable
21,CET-4,access accessible
21,CET-6,accessory
21,CET-4,accident accidental
21,CET-6,acclaim
21,CET-4,accommodate accommodation
21,CET-4,accompany
21,CET-4,accomplish accomplishment
21,CET-4,accord
21,CET-4,accordance
21,CET-4,accordingto
21,CET-4,accordingly
21,CET-4,account accounting accountant accountancy
21,CET-4,accountable accountability
21,CET-4,accumulate accumulation accumulative
21,CET-4,accurate accuracy
21,CET-4,accuse accusation
21,CET-4,accustom accustomed
22,CET-4,ace
22,CET-4,ache
22,CET-4,achieve achievement
22,CET-4,acid acidity
22,CET-4,acknowledge acknowledgement
22,CET-4,acquaint acquaintance
22,CET-4,acquire acquisition
22,CET-4,acre
22,CET-4,across
22,CET-4,act action acting
22,CET-6,activate
22,CET-4,active activity activist
22,CET-4,actor actress
22,CET-4,actual actually
22,CET-6,acupuncture
22,CET-4,acute
22,CET-4,adapt adaptation adaptive
22,CET-4,add addition additional
22,CET-4,addict addiction addictive
22,CET-4,address
22,CET-4,adequate adequacy adequately
22,CET-6,adhere adherence
22,CET-6,adjacent
22,CET-4,adjective
22,CET-4,adjust adjustment
22,CET-4,administer/administrate administration administrative
22,CET-4,admire admiration admirable
22,CET-4,admit admission admittance admittedly
22,CET-6,adolescent adolescence
22,CET-4,adopt adoption
22,CET-6,adore adorable
22,CET-4,adult adulthood
22,CET-4,advance advancement advanced
22,CET-4,advantage advantageous
22,CET-6,advent
22,CET-4,adventure adventurer adventurous
22,CET-4,adverb
22,CET-6,adversary
22,CET-6,adverse adversity
22,CET-4,advertise advertisement/ad advertising
22,CET-4,advice
22,CET-4,advise advisor/Ｇer advisory advisable
23,CET-4,advocate advocacy
23,CET-4,aerial
23,CET-6,aesthetic aesthetics
23,CET-4,affair
23,CET-4,affect
23,CET-4,affection affectionate
23,CET-6,affiliate affiliation
23,CET-6,affirm affirmation affirmative
23,CET-6,affix affixation
23,CET-4,affluent affluence
23,CET-4,afford affordable affordability
23,CET-6,afloat
23,CET-4,afraid
23,CET-4,after
23,CET-6,aftermath
23,CET-4,afternoon
23,CET-4,afterward(s)
23,CET-4,again
23,CET-4,against
23,CET-4,age aged ag(e)ing
23,CET-4,agenda
23,CET-4,agent agency
23,CET-6,aggravate aggravation
23,CET-6,aggregate
23,CET-4,aggressive aggression
23,CET-6,agitate agitation
23,CET-4,ago
23,CET-6,agony
23,CET-4,agree agreement agreeable
23,CET-4,agriculture agricultural
23,CET-4,ahead
23,CET-4,aid
23,CET-6,aide
23,CET-4,AIDS
23,CET-6,ail ailment
23,CET-4,aim
23,CET-4,air
23,CET-6,airborne
23,CET-4,airＧconditioning airＧconditioner
23,CET-4,aircraft
23,CET-4,airline
23,CET-4,airplane/aeroplane
24,CET-4,airport
24,CET-4,aisle
24,CET-6,akin
24,CET-4,alarm
24,CET-4,album
24,CET-4,alcohol alcoholic
24,CET-6,ale
24,CET-4,alert
24,CET-4,algebra
24,CET-6,alien alienate alienation
24,CET-6,align alignment
24,CET-4,alike
24,CET-4,alive
24,CET-4,all
24,CET-4,allege allegation alleged allegedly
24,CET-6,allergic allergy
24,CET-6,alleviate alleviation
24,CET-4,alley
24,CET-6,allocate allocation
24,CET-6,allot allotment
24,CET-4,allow
24,CET-4,allowance
24,CET-6,alloy
24,CET-6,allude allusion
24,CET-6,allure allurement
24,CET-4,ally alliance
24,CET-6,almighty
24,CET-4,almost
24,CET-6,aloft
24,CET-4,alone
24,CET-4,along
24,CET-4,alongside
24,CET-4,aloud
24,CET-4,alphabet alphabetic(al)
24,CET-4,already
24,CET-4,also
24,CET-4,alter alteration
24,CET-6,alternate alternation alternately
24,CET-4,alternative
24,CET-4,although
24,CET-4,altitude
24,CET-4,altogether
25,CET-4,alumin(i)um
25,CET-4,always
25,CET-4,am
25,CET-6,amass
25,CET-4,amateur
25,CET-4,amaze amazing amazement
25,CET-4,ambassador
25,CET-6,ambiguous ambiguity
25,CET-4,ambition ambitious
25,CET-4,ambulance
25,CET-6,amend amendment
25,CET-6,amiable
25,CET-4,amid(st)
25,CET-6,ammunition
25,CET-4,among(st)
25,CET-4,amount
25,CET-4,ample
25,CET-6,amplify amplification
25,CET-4,amuse amusing amusement
25,CET-6,analogue analogous
25,CET-6,analogy
25,CET-4,analyze/Ｇyse analysis analytic(al) analyst
25,CET-4,ancestor ancestry
25,CET-4,anchor anchorage
25,CET-4,ancient
25,CET-4,and
25,CET-6,anecdote anecdotal
25,CET-4,anew
25,CET-4,angel
25,CET-4,angle
