pdf_page,column,raw_entry,entry,stage_bucket
129,left,a (an),a (an),compulsory_baseline
129,left,abandon**,abandon,selective_required_new
129,left,ability,ability,compulsory_baseline
129,left,able,able,compulsory_baseline
129,left,abnormal**,abnormal,selective_required_new
129,left,aboard**,aboard,selective_required_new
129,left,about,about,compulsory_baseline
129,right,above,above,compulsory_baseline
129,right,abroad,abroad,compulsory_baseline
129,right,absence**,absence,selective_required_new
129,right,absent,absent,compulsory_baseline
129,right,absolutely*,absolutely,required_new
129,right,absorb**,absorb,selective_required_new
129,right,abstract**,abstract,selective_required_new
129,right,abuse**,abuse,selective_required_new
129,right,academic**,academic,selective_required_new
130,left,accent**,accent,selective_required_new
130,left,accept,accept,compulsory_baseline
130,left,access**,access,selective_required_new
130,left,accident*,accident,required_new
130,left,accommodation**,accommodation,selective_required_new
130,left,accompany**,accompany,selective_required_new
130,left,according to,according to,compulsory_baseline
130,left,account*,account,required_new
130,left,accurate**,accurate,selective_required_new
130,left,accuse**,accuse,selective_required_new
130,left,ache*,ache,required_new
130,left,achieve,achieve,compulsory_baseline
130,left,achievement*,achievement,required_new
130,left,acid**,acid,selective_required_new
130,left,acknowledge**,acknowledge,selective_required_new
130,left,acquire*,acquire,required_new
130,left,across,across,compulsory_baseline
130,left,act,act,compulsory_baseline
130,left,action,action,compulsory_baseline
130,left,active,active,compulsory_baseline
130,left,activity,activity,compulsory_baseline
130,left,actor,actor,compulsory_baseline
130,left,actress,actress,compulsory_baseline
130,left,actually*,actually,required_new
130,left,AD**,AD,selective_required_new
130,left,adapt*,adapt,required_new
130,left,adaptation**,adaptation,selective_required_new
130,left,add,add,compulsory_baseline
130,right,addict*,addict,required_new
130,right,addition*,addition,required_new
130,right,address,address,compulsory_baseline
130,right,adjust**,adjust,selective_required_new
130,right,administration**,administration,selective_required_new
130,right,admire*,admire,required_new
130,right,admit*,admit,required_new
130,right,adopt**,adopt,selective_required_new
130,right,adorable**,adorable,selective_required_new
130,right,adult*,adult,required_new
130,right,advance*,advance,required_new
130,right,advantage,advantage,compulsory_baseline
130,right,adventure*,adventure,required_new
130,right,advertise**,advertise,selective_required_new
130,right,advertisement (ad)**,advertisement (ad),selective_required_new
130,right,advice,advice,compulsory_baseline
130,right,advise,advise,compulsory_baseline
130,right,advocate**,advocate,selective_required_new
130,right,affair*,affair,required_new
130,right,affect**,affect,selective_required_new
130,right,afford,afford,compulsory_baseline
130,right,afraid,afraid,compulsory_baseline
130,right,Africa,Africa,compulsory_baseline
130,right,African,African,compulsory_baseline
130,right,after,after,compulsory_baseline
130,right,afternoon,afternoon,compulsory_baseline
130,right,afterward**,afterward,selective_required_new
130,right,again,again,compulsory_baseline
131,left,against,against,compulsory_baseline
131,left,age,age,compulsory_baseline
131,left,agency**,agency,selective_required_new
131,left,agenda**,agenda,selective_required_new
