pdf_page,column,raw_entry,entry,stage_bucket,needs_visual_review
105,left,a/an*,a/an,primary_inherited,
105,left,ability,ability,junior_new,
105,left,able,able,junior_new,
105,right,about *,about,primary_inherited,
105,right,above,above,junior_new,
105,right,abroad,abroad,junior_new,
105,right,absent,absent,junior_new,
106,left,accept,accept,junior_new,
106,left,accident,accident,junior_new,
106,left,according (to),according (to),junior_new,
106,left,account,account,junior_new,
106,left,ache,ache,junior_new,
106,left,achieve,achieve,junior_new,
106,left,across,across,junior_new,
106,left,act,act,junior_new,
106,left,action,action,junior_new,
106,left,active,active,junior_new,
106,left,activity,activity,junior_new,
106,left,actor / actress,actor / actress,junior_new,
106,left,actually,actually,junior_new,
106,left,ad (=advertisement),ad (advertisement),junior_new,
106,left,add,add,junior_new,
106,left,address,address,junior_new,
106,left,admire,admire,junior_new,
106,left,adult,adult,junior_new,
106,left,advantage,advantage,junior_new,
106,left,advice,advice,junior_new,
106,left,advise,advise,junior_new,
106,left,afford,afford,junior_new,
106,left,afraid,afraid,junior_new,
106,left,after *,after,primary_inherited,
106,left,afternoon *,afternoon,primary_inherited,
106,left,again *,again,primary_inherited,
106,left,against,against,junior_new,
106,left,age ~,age,primary_inherited,
106,right,ago”,ago,primary_inherited,
106,right,agree,agree,junior_new,
106,right,ahead,ahead,junior_new,
106,right,Al © artificial intelligence),AI ( artificial intelligence),junior_new,yes
106,right,aid,aid,junior_new,
106,right,aim,aim,junior_new,
106,right,air ~,air,primary_inherited,
106,right,airport,airport,junior_new,
106,right,alarm,alarm,junior_new,
106,right,alive,alive,junior_new,
106,right,all *,all,primary_inherited,
106,right,allow,allow,junior_new,
106,right,almost,almost,junior_new,
106,right,alone,alone,junior_new,
106,right,along,along,junior_new,
106,right,aloud,aloud,junior_new,
106,right,already,already,junior_new,
106,right,also *,also,primary_inherited,
106,right,although,although,junior_new,
106,right,always *,always,primary_inherited,
106,right,a.m.,a.m.,junior_new,
106,right,amazing,amazing,junior_new,
106,right,among,among,junior_new,
106,right,ancient,ancient,junior_new,
106,right,and *,and,primary_inherited,
106,right,angry *,angry,primary_inherited,
106,right,animal *,animal,primary_inherited,
106,right,another,another,junior_new,
107,left,answer *,answer,primary_inherited,
107,left,ant,ant,junior_new,
107,left,any ~,any,primary_inherited,
107,left,anybody / anyone,anybody / anyone,junior_new,
107,left,anything,anything,junior_new,
107,left,anyway,anyway,junior_new,
107,left,anywhere,anywhere,junior_new,
107,left,apartment,apartment,junior_new,
107,left,app (=application),app (application),junior_new,
107,left,appear,appear,junior_new,
107,left,apple *,apple,primary_inherited,
107,left,area,area,junior_new,
107,left,argue,argue,junior_new,
107,left,arm*,arm,primary_inherited,
107,left,army,army,junior_new,
107,left,around,around,junior_new,
107,left,arrive,arrive,junior_new,
107,left,art*,art,primary_inherited,
107,left,article,article,junior_new,
107,left,artist,artist,junior_new,
107,left,as,as,junior_new,
107,left,ask *,ask,primary_inherited,
107,left,asleep,asleep,junior_new,
107,left,astronaut *,astronaut,primary_inherited,
107,left,at”,at,primary_inherited,
107,left,athlete,athlete,junior_new,
107,left,attack,attack,junior_new,
107,left,attend,attend,junior_new,
107,right,attention,attention,junior_new,
107,right,aunt *,aunt,primary_inherited,
107,right,autumn *,autumn,primary_inherited,yes
107,right,average,average,junior_new,
107,right,avoid,avoid,junior_new,
107,right,awake,awake,junior_new,
107,right,award,award,junior_new,
107,right,aware,aware,junior_new,
107,right,away,away,junior_new,
107,right,awful,awful,junior_new,
107,right,baby *,baby,primary_inherited,
107,right,back *,back,primary_inherited,
107,right,background,background,junior_new,
107,right,bad *,bad,primary_inherited,
107,right,badminton,badminton,junior_new,
107,right,bag *,bag,primary_inherited,
107,right,balance,balance,junior_new,
107,right,ball *,ball,primary_inherited,
107,right,balloon,balloon,junior_new,
107,right,bamboo,bamboo,junior_new,
107,right,banana ~,banana,primary_inherited,
107,right,band,band,junior_new,
107,right,bank,bank,junior_new,
107,right,baseball,baseball,junior_new,
107,right,basic,basic,junior_new,
107,right,basket,basket,junior_new,
108,left,basketball *,basketball,primary_inherited,
108,left,bat,bat,junior_new,
108,left,bath,bath,junior_new,
108,left,bathroom,bathroom,junior_new,
108,left,"be (am, is, are) *","be (am, is, are)",primary_inherited,
108,left,beach *,beach,primary_inherited,
108,left,bean,bean,junior_new,
108,left,bear *,bear,primary_inherited,
108,left,beat,beat,junior_new,
108,left,beautiful *,beautiful,primary_inherited,
108,left,because *,because,primary_inherited,
108,left,become,become,junior_new,
108,left,bed *,bed,primary_inherited,
108,left,bedroom,bedroom,junior_new,
108,left,bee *,bee,primary_inherited,
108,left,beef,beef,junior_new,
108,left,before *,before,primary_inherited,
108,left,begin *,begin,primary_inherited,
108,left,behave,behave,junior_new,
108,left,behind *,behind,primary_inherited,
108,left,believe,believe,junior_new,
108,left,bell,bell,junior_new,
108,left,belong,belong,junior_new,
108,left,below,below,junior_new,
108,left,belt,belt,junior_new,
108,left,benefit,benefit,junior_new,
108,left,beside *,beside,primary_inherited,
108,left,best *,best,primary_inherited,
108,right,better,better,junior_new,
108,right,between *,between,primary_inherited,
108,right,big *,big,primary_inherited,
108,right,bike (=bicycle) *,bike (bicycle),primary_inherited,
108,right,bill,bill,junior_new,
108,right,bin,bin,junior_new,
108,right,biology,biology,junior_new,
108,right,bird”,bird,primary_inherited,
108,right,birth,birth,junior_new,
108,right,birthday *,birthday,primary_inherited,
108,right,biscuit,biscuit,junior_new,
108,right,bit,bit,junior_new,
108,right,black *,black,primary_inherited,
108,right,blackboard *,blackboard,primary_inherited,
108,right,bleed,bleed,junior_new,
108,right,blind,blind,junior_new,
108,right,block,block,junior_new,
108,right,blood,blood,junior_new,
108,right,blouse,blouse,junior_new,
108,right,blow,blow,junior_new,
108,right,blue *,blue,primary_inherited,
108,right,board,board,junior_new,
108,right,boat *,boat,primary_inherited,
108,right,body *,body,primary_inherited,
108,right,boil,boil,junior_new,
108,right,book *,book,primary_inherited,
108,right,boring,boring,junior_new,
108,right,born,born,junior_new,
109,left,borrow,borrow,junior_new,
109,left,boss,boss,junior_new,
109,left,both,both,junior_new,
109,left,bottle,bottle,junior_new,
109,left,bottom,bottom,junior_new,
109,left,bowl,bowl,junior_new,
109,left,box *,box,primary_inherited,
109,left,boy *,boy,primary_inherited,
109,left,brain,brain,junior_new,
109,left,brave,brave,junior_new,
109,left,bread *,bread,primary_inherited,
109,left,break,break,junior_new,
109,left,breakfast *,breakfast,primary_inherited,
109,left,breath,breath,junior_new,
109,left,bridge,bridge,junior_new,
109,left,bright,bright,junior_new,
109,left,bring *,bring,primary_inherited,
109,left,brother *,brother,primary_inherited,
109,left,brown *,brown,primary_inherited,
109,left,brush,brush,junior_new,
109,left,budget,budget,junior_new,
109,left,build,build,junior_new,
109,left,building,building,junior_new,
109,left,bully,bully,junior_new,
109,left,burn,burn,junior_new,
109,left,bus *,bus,primary_inherited,
109,left,business,business,junior_new,
109,left,busy *,busy,primary_inherited,
109,right,but *,but,primary_inherited,
109,right,butter,butter,junior_new,
109,right,butterfly,butterfly,junior_new,
109,right,buy*,buy,primary_inherited,
109,right,by*,by,primary_inherited,
109,right,cabbage,cabbage,junior_new,
109,right,cake *,cake,primary_inherited,
109,right,calendar,calendar,junior_new,
109,right,call *,call,primary_inherited,
109,right,calm,calm,junior_new,
109,right,camera,camera,junior_new,
109,right,camp,camp,junior_new,
109,right,can*,can,primary_inherited,
109,right,cancel,cancel,junior_new,
109,right,cancer,cancer,junior_new,
109,right,candle *,candle,primary_inherited,
109,right,candy *,candy,primary_inherited,
109,right,cap*,cap,primary_inherited,
109,right,capital,capital,junior_new,
109,right,car”,car,primary_inherited,
109,right,card *,card,primary_inherited,
109,right,care,care,junior_new,
109,right,careful *,careful,primary_inherited,
109,right,careless,careless,junior_new,
109,right,carrot,carrot,junior_new,
109,right,carry,carry,junior_new,
110,left,cartoon,cartoon,junior_new,
110,left,case,case,junior_new,
110,left,cash,cash,junior_new,
110,left,cat *,cat,primary_inherited,
110,left,catch *,catch,primary_inherited,
110,left,cause,cause,junior_new,
110,left,celebrate,celebrate,junior_new,
110,left,cent,cent,junior_new,
110,left,central,central,junior_new,
110,left,centre (AmE center),centre (AmE center),junior_new,
