pdf_page,column,raw_entry,entry
95,left,a/an,a/an
95,left,about,about
95,left,after,after
95,left,afternoon,afternoon
95,left,again,again
95,left,age,age
95,left,ago,ago
95,left,air,air
95,left,all,all
95,left,also,also
95,left,always,always
95,left,and,and
95,left,angry,angry
95,left,animal,animal
95,left,answer,answer
95,left,any,any
95,left,apple,apple
95,left,arm,arm
95,left,art,art
95,left,ask,ask
95,left,astronaut,astronaut
95,left,at,at
95,left,aunt,aunt
95,left,autumn,autumn
95,left,baby,baby
95,right,back,back
95,right,bad,bad
95,right,bag,bag
95,right,ball,ball
95,right,banana,banana
95,right,basketball,basketball
95,right,"be (am, is, are)","be (am, is, are)"
95,right,beach,beach
95,right,bear,bear
95,right,beautiful,beautiful
95,right,because,because
95,right,bed,bed
95,right,bee,bee
95,right,before,before
95,right,begin,begin
95,right,behind,behind
95,right,beside,beside
95,right,best,best
95,right,between,between
95,right,big,big
95,right,bike (=bicycle),bike (=bicycle)
95,right,bird,bird
95,right,birthday,birthday
95,right,black,black
95,right,blackboard,blackboard
95,right,blue,blue
95,right,boat,boat
95,right,body,body
96,left,book,book
96,left,box,box
96,left,boy,boy
96,left,bread,bread
96,left,breakfast,breakfast
96,left,bring,bring
96,left,brother,brother
96,left,brown,brown
96,left,bus,bus
96,left,busy,busy
96,left,but,but
96,left,buy,buy
96,left,by,by
96,left,cake,cake
96,left,call,call
96,left,can,can
96,left,candle,candle
96,left,candy,candy
96,left,cap,cap
96,left,car,car
96,left,card,card
96,left,careful,careful
96,left,cat,cat
96,left,catch,catch
96,left,chair,chair
96,left,chicken,chicken
96,right,child (pl. children),child (pl. children)
96,right,China,China
96,right,Chinese,Chinese
96,right,chore,chore
96,right,cinema,cinema
96,right,city,city
96,right,class,class
96,right,classroom,classroom
96,right,clean,clean
96,right,clever,clever
96,right,clock,clock
96,right,close,close
96,right,clothes,clothes
96,right,cloudy,cloudy
96,right,coat,coat
96,right,cold,cold
96,right,colour (AmE color),colour (AmE color)
96,right,come,come
96,right,computer,computer
96,right,cook,cook
96,right,cool,cool
96,right,cousin,cousin
96,right,cow,cow
96,right,cry,cry
96,right,cup,cup
96,right,cut,cut
96,right,cute,cute
97,left,dance,dance
97,left,day,day
97,left,dear,dear
97,left,desk,desk
97,left,difficult,difficult
97,left,dinner,dinner
97,left,dirty,dirty
97,left,do,do
97,left,doctor,doctor
97,left,dog,dog
97,left,doll,doll
97,left,door,door
97,left,down,down
97,left,draw,draw
97,left,dress,dress
97,left,drink,drink
97,left,driver,driver
97,left,duck,duck
97,left,ear,ear
97,left,early,early
97,left,earth,earth
97,left,easy,easy
97,left,eat,eat
97,left,egg,egg
97,left,elephant,elephant
97,right,email,email
97,right,English,English
97,right,evening,evening
97,right,every,every
97,right,excited,excited
97,right,exercise,exercise
97,right,eye,eye
97,right,face,face
97,right,family,family
97,right,famous,famous
97,right,fan,fan
97,right,far,far
97,right,farm,farm
97,right,farmer,farmer
97,right,fast,fast
97,right,father (dad),father (dad)
97,right,favourite (AmE favorite),favourite (AmE favorite)
97,right,feel,feel
